V0: 
     angle |         v0 |       time |   distance
-----------+------------+------------+-----------
         0 |     10.000 |      0.000 |      0.000
         5 |     10.000 |      0.178 |      1.770
        10 |     10.000 |      0.354 |      3.486
        15 |     10.000 |      0.528 |      5.097
        20 |     10.000 |      0.697 |      6.552
        25 |     10.000 |      0.862 |      7.809
        30 |     10.000 |      1.019 |      8.828
        35 |     10.000 |      1.169 |      9.579
        40 |     10.000 |      1.310 |     10.039
        45 |     10.000 |      1.442 |     10.194
        50 |     10.000 |      1.562 |     10.039
        55 |     10.000 |      1.670 |      9.579
        60 |     10.000 |      1.766 |      8.828
        65 |     10.000 |      1.848 |      7.809
        70 |     10.000 |      1.916 |      6.552
        75 |     10.000 |      1.969 |      5.097
        80 |     10.000 |      2.008 |      3.486
        85 |     10.000 |      2.031 |      1.770
        90 |     10.000 |      2.039 |      0.000
