V0: 
     angle |         v0 |       time |   distance
-----------+------------+------------+-----------
         0 |      0.500 |      0.000 |      0.000
         5 |      0.500 |      0.009 |      0.004
        10 |      0.500 |      0.018 |      0.009
        15 |      0.500 |      0.026 |      0.013
        20 |      0.500 |      0.035 |      0.016
        25 |      0.500 |      0.043 |      0.020
        30 |      0.500 |      0.051 |      0.022
        35 |      0.500 |      0.058 |      0.024
        40 |      0.500 |      0.066 |      0.025
        45 |      0.500 |      0.072 |      0.025
        50 |      0.500 |      0.078 |      0.025
        55 |      0.500 |      0.084 |      0.024
        60 |      0.500 |      0.088 |      0.022
        65 |      0.500 |      0.092 |      0.020
        70 |      0.500 |      0.096 |      0.016
        75 |      0.500 |      0.098 |      0.013
        80 |      0.500 |      0.100 |      0.009
        85 |      0.500 |      0.102 |      0.004
        90 |      0.500 |      0.102 |      0.000
